,moc_id,state_district,chamber,name,party,twitter_handle
464,465,Texas 14th District,U.S. Representative,"Weber, Randy",R,@TXRandy14
465,466,Texas 15th District,U.S. Representative,"Gonzalez, Vincente",D,@RepGonzalez
467,468,Texas 17th District,U.S. Representative,"Sessions, Pete",R,@SessionsTX17
470,471,Texas 20th District,U.S. Representative,"Castro, Joaquin",D,@JoaquinCastrotx
471,472,Texas 21st District,U.S. Representative,"Roy, Chip",R,@RepChipRoy
472,473,Texas 22nd District,U.S. Representative,"Nehls, Troy",R,@SheriffTNehls
473,474,Texas 23rd District,U.S. Representative,"Gonzales, Tony",R,@TonyGonzales4TX
474,475,Texas 24th District,U.S. Representative,"Van Duyne, Beth",R,@Bethvanduyne
475,476,Texas 25th District,U.S. Representative,"Williams, Roger",R,@RepRWilliams
477,478,Texas 27th District,U.S. Representative,"Cloud, Michael",R,@RepCloudTX
478,479,Texas 28th District,U.S. Representative,"Cuellar, Henry",D,@RepCuellar
479,480,Texas 29th District,U.S. Representative,"Garcia, Sylvia",D,@RepSylviaGarcia
480,481,Texas 30th District,U.S. Representative,"Johnson, Eddie Bernice",D,@RepEBJ
482,483,Texas 32nd District,U.S. Representative,"Allred, Colin",D,@RepColinAllred
483,484,Texas 33rd District,U.S. Representative,"Veasey, Marc",D,@RepVeasey
484,485,Texas 34th District,U.S. Representative,"Vela, Filemon",D,@RepFilemonVela
485,486,Texas 35th District,U.S. Representative,"Doggett, Lloyd",D,@RepLloydDoggett
487,488,Utah,U.S. Senator,"Lee, Mike",R,@SenMikeLee
488,489,Utah,U.S. Senator,"Romney, Mitt",R,@SenatorRomney
490,491,Utah 2nd District,U.S. Representative,"Stewart, Chris",R,@RepChrisStewart
493,494,Vermont,U.S. Senator,"Leahy, Patrick",D, @SenatorLeahy
494,495,Vermont At-Large,U.S. Representative,"Welch, Peter",D,@PeterWelch
496,497,Virginia,U.S. Senator,"Kaine, Tim",D,@timkaine
497,498,Virginia 1st District,U.S. Representative,"Wittman, Robert J.",R,@RobWittman
498,499,Virginia 2nd District,U.S. Representative,"Luria, Elaine",D,@RepElaineLuria
500,501,Virginia 4th District,U.S. Representative,"McEacchin, Donald",R,@Donald_McEachin
503,504,Virginia 7th District,U.S. Representative,"Spanberger, Abigail",D,@RepSpanberger
505,506,Virginia 9th District,U.S. Representative,"Griffith, Morgan",R,@RepMGriffith
507,508,Virginia 11th District,U.S. Representative,"Connolly, Gerald E. “Gerry”",D,@GerryConnolly
508,509,Virgin Islands At-Large,U.S. Representative,"Plaskett, Stacey",D,@StaceyPlaskett
510,511,Washington,U.S. Senator,"Cantwell, Maria",D,@SenatorCantwell
511,512,Washington 1st District,U.S. Representative,"DelBene, Suzan",D,@RepDelBene
512,513,Washington 2nd District,U.S. Representative,"Larsen, Rick",D,@RepRickLarsen
513,514,Washington 3rd District,U.S. Representative,"Herrera Beutler, Jaime",R,@HerreraBeutler
514,515,Washington 4th District,U.S. Representative,"Newhouse, Dan",R,@RepNewhouse
515,516,Washington 5th District,U.S. Representative,"McMorris Rodgers, Cathy",R,@cathymcmorris
516,517,Washington 6th District,U.S. Representative,"Kilmer, Derek",D,@RepDerekKilmer
517,518,Washington 7th District,U.S. Representative,"Jayapal, Pramila",D,@PramilaJayapal
518,519,Washington 8th District,U.S. Representative,"Schrier, Kim",D,@RepKimSchrier
520,521,Washington 10th District,U.S. Representative,"Strickland, Marilyn",D,@StricklandforWA
521,522,West Virginia,U.S. Senator,"Manchin, Joe",D,@Sen_JoeManchin
524,525,West Virginia 2nd District,U.S. Representative,"Mooney, Alex",R,@RepAlexMooney
526,527,Wisconsin,U.S. Senator,"Johnson, Ron",R,@SenRonJohnson
530,531,Wisconsin 3rd District,U.S. Representative,"Kind, Ron",D,@RepRonKind
531,532,Wisconsin 4th District,U.S. Representative,"Moore, Gwen",D,@RepGwenMoore
532,533,Wisconsin 5th District,U.S. Representative,"Fitzgerald, Scott",R,@FitzgeraldForWI
536,537,Wyoming,U.S. Senator,"Lummis, Cynthia",R,@SenLummis
538,539,Wyoming At-Large,U.S. Representative,"Cheney, Liz",R,@Liz_Cheney
